sample_precision,sample_recall,sample_f1,positive_rate,pr_auc,roc_auc,event_precision,event_recall,event_f1,true_event_count,pred_event_count,detected_event_rate,mean_lead_bars,false_alarms_per_day,threshold,bootstrap_ci,symbol,model
0.0,0.0,0.0,0.017241379310344827,0.08543028322440088,0.5324074074074074,0.0,0.0,0.0,1.0,1.0,0.0,,0.12068965517241378,0.021063891185178808,{},QQQ,vol_threshold
0.0,0.0,0.0,0.0,0.10924498419507493,0.3949579831932773,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.021063891185178808,{},SPY,vol_threshold
0.08823529411764706,1.0,0.16216216216216217,0.5862068965517241,0.07564217891054473,0.5696969696969698,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.021063891185178808,{},VXX,vol_threshold
0.0,0.0,0.0,0.017241379310344827,0.24232711732711731,0.8657407407407408,0.0,0.0,0.0,1.0,1.0,0.0,,0.12068965517241378,0.6,{},QQQ,gcn_fusion
0.25,0.14285714285714285,0.18181818181818182,0.06896551724137931,0.4210114815156832,0.7843137254901961,0.5,0.25,0.3333333333333333,4.0,2.0,0.5,1.5,0.12068965517241378,0.6,{},SPY,gcn_fusion
0.0,0.0,0.0,0.0,0.1024526198439242,0.696969696969697,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.6,{},VXX,gcn_fusion
0.0,0.0,0.0,0.0,0.1889328063241107,0.8055555555555556,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.3,{},QQQ,rf_topology
0.25,0.14285714285714285,0.18181818181818182,0.06896551724137931,0.41843711843711845,0.7549019607843137,0.5,0.25,0.3333333333333333,4.0,2.0,0.5,1.5,0.12068965517241378,0.3,{},SPY,rf_topology
0.0,0.0,0.0,0.017241379310344827,0.08956019825585043,0.5303030303030303,0.0,0.0,0.0,1.0,1.0,0.0,,0.12068965517241378,0.3,{},VXX,rf_topology
0.0,0.0,0.0,0.0,0.1667200854700855,0.75,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.55,{},QQQ,gcn_graph
0.0,0.0,0.0,0.0,0.19736369910282953,0.5910364145658263,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.55,{},SPY,gcn_graph
0.0,0.0,0.0,0.0,0.11146723646723647,0.5818181818181819,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.55,{},VXX,gcn_graph
0.0,0.0,0.0,0.0,0.11259920634920634,0.6550925925925927,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.35,{},QQQ,rf_combined
0.0,0.0,0.0,0.0,0.14005518291232577,0.5266106442577031,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.35,{},SPY,rf_combined
0.0,0.0,0.0,0.0,0.12549019607843137,0.6090909090909091,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.35,{},VXX,rf_combined
