event_id,start_index,end_index,duration_bars,is_short_event,detected,first_prediction_index,lead_bars,threshold
0,21,22,2,True,True,16,5.0,0.5
1,30,30,1,True,False,-1,,0.5
2,32,32,1,True,True,32,0.0,0.5
3,36,36,1,True,True,32,4.0,0.5
5,112,113,2,True,True,108,4.0,0.5
6,125,125,1,True,False,-1,,0.5
7,127,127,1,True,True,127,0.0,0.5
8,129,129,1,True,True,127,2.0,0.5
9,134,134,1,True,True,130,4.0,0.5
10,147,148,2,True,True,142,5.0,0.5
12,170,170,1,True,True,169,1.0,0.5
13,196,196,1,True,False,-1,,0.5
14,208,208,1,True,False,-1,,0.5
15,231,232,2,True,True,226,5.0,0.5
16,307,307,1,True,True,303,4.0,0.5
17,315,315,1,True,True,310,5.0,0.5
18,333,333,1,True,True,328,5.0,0.5
21,352,352,1,True,False,-1,,0.5
22,354,354,1,True,True,353,1.0,0.5
24,389,389,1,True,True,387,2.0,0.5
25,413,414,2,True,True,408,5.0,0.5
26,436,437,2,True,False,-1,,0.5
27,449,449,1,True,False,-1,,0.5
28,479,479,1,True,True,479,0.0,0.5
29,486,486,1,True,False,-1,,0.5
31,529,529,1,True,True,529,0.0,0.5
32,556,557,2,True,False,-1,,0.5
33,580,581,2,True,True,575,5.0,0.5
34,584,585,2,True,True,579,5.0,0.5
35,673,674,2,True,True,668,5.0,0.5
36,682,683,2,True,False,-1,,0.5
37,695,695,1,True,True,693,2.0,0.5
38,706,706,1,True,True,701,5.0,0.5
39,718,718,1,True,False,-1,,0.5
40,731,731,1,True,True,726,5.0,0.5
42,748,748,1,True,True,743,5.0,0.5
44,764,765,2,True,True,759,5.0,0.5
45,814,814,1,True,False,-1,,0.5
46,830,830,1,True,True,828,2.0,0.5
47,833,834,2,True,True,828,5.0,0.5
48,843,843,1,True,True,838,5.0,0.5
49,850,850,1,True,True,845,5.0,0.5
50,859,860,2,True,True,854,5.0,0.5
51,863,863,1,True,True,861,2.0,0.5
52,874,874,1,True,True,872,2.0,0.5
53,880,880,1,True,True,875,5.0,0.5
54,887,887,1,True,True,882,5.0,0.5
55,895,895,1,True,True,895,0.0,0.5
56,900,900,1,True,True,895,5.0,0.5
57,907,907,1,True,True,902,5.0,0.5
58,914,915,2,True,True,913,1.0,0.5
59,917,917,1,True,True,913,4.0,0.5
60,925,926,2,True,True,920,5.0,0.5
61,929,929,1,True,True,924,5.0,0.5
62,931,931,1,True,True,926,5.0,0.5
63,941,942,2,True,True,936,5.0,0.5
64,1021,1021,1,True,True,1016,5.0,0.5
65,1027,1027,1,True,True,1022,5.0,0.5
66,1029,1029,1,True,True,1024,5.0,0.5
67,1036,1036,1,True,True,1031,5.0,0.5
68,1040,1040,1,True,True,1035,5.0,0.5
69,1050,1050,1,True,True,1045,5.0,0.5
70,1057,1057,1,True,True,1052,5.0,0.5
71,1059,1059,1,True,True,1054,5.0,0.5
72,1117,1118,2,True,True,1112,5.0,0.5
74,1215,1216,2,True,True,1216,-1.0,0.5
75,1227,1228,2,True,True,1222,5.0,0.5
76,1236,1236,1,True,True,1236,0.0,0.5
77,1267,1268,2,True,False,-1,,0.5
78,1294,1295,2,True,True,1289,5.0,0.5
79,1384,1385,2,True,True,1379,5.0,0.5
80,1392,1393,2,True,True,1387,5.0,0.5
81,1404,1405,2,True,True,1399,5.0,0.5
82,1414,1414,1,True,True,1412,2.0,0.5
83,1422,1422,1,True,True,1417,5.0,0.5
84,1426,1426,1,True,True,1421,5.0,0.5
85,1435,1435,1,True,True,1430,5.0,0.5
86,1438,1439,2,True,True,1433,5.0,0.5
87,1444,1445,2,True,True,1445,-1.0,0.5
88,1456,1456,1,True,True,1451,5.0,0.5
89,1460,1460,1,True,True,1455,5.0,0.5
90,1462,1462,1,True,True,1457,5.0,0.5
92,1538,1538,1,True,True,1536,2.0,0.5
93,1542,1542,1,True,True,1537,5.0,0.5
94,1551,1551,1,True,True,1546,5.0,0.5
95,1558,1558,1,True,True,1553,5.0,0.5
96,1560,1560,1,True,True,1555,5.0,0.5
97,1573,1573,1,True,True,1568,5.0,0.5
98,1582,1582,1,True,True,1577,5.0,0.5
99,1584,1584,1,True,True,1579,5.0,0.5
100,1588,1588,1,True,True,1583,5.0,0.5
101,1637,1637,1,True,True,1632,5.0,0.5
102,1647,1648,2,True,False,-1,,0.5
103,1706,1707,2,True,True,1701,5.0,0.5
104,1712,1712,1,True,True,1707,5.0,0.5
105,1731,1732,2,True,True,1726,5.0,0.5
106,1743,1743,1,True,True,1738,5.0,0.5
108,1754,1754,1,True,True,1749,5.0,0.5
109,1756,1756,1,True,True,1751,5.0,0.5
110,1765,1765,1,True,True,1760,5.0,0.5
112,1808,1808,1,True,True,1803,5.0,0.5
113,1820,1821,2,True,True,1815,5.0,0.5
114,1927,1927,1,True,True,1926,1.0,0.5
117,1973,1974,2,True,False,-1,,0.5
118,1997,1997,1,True,True,1992,5.0,0.5
119,2000,2001,2,True,True,1995,5.0,0.5
120,2080,2080,1,True,True,2075,5.0,0.5
121,2089,2090,2,True,True,2084,5.0,0.5
122,2102,2103,2,True,True,2098,4.0,0.5
123,2110,2111,2,True,True,2105,5.0,0.5
124,2137,2138,2,True,True,2133,4.0,0.5
125,2150,2151,2,True,True,2148,2.0,0.5
126,2174,2174,1,True,True,2169,5.0,0.5
128,2193,2193,1,True,True,2188,5.0,0.5
129,2224,2224,1,True,True,2219,5.0,0.5
130,2239,2239,1,True,True,2234,5.0,0.5
131,2247,2248,2,True,True,2242,5.0,0.5
132,2257,2258,2,True,True,2252,5.0,0.5
133,2266,2267,2,True,True,2261,5.0,0.5
134,2287,2288,2,True,True,2282,5.0,0.5
