event_id,start_index,end_index,duration_bars,is_short_event,detected,first_prediction_index,lead_bars,threshold
0,65,65,1,True,False,-1,,0.00963205078894153
1,69,69,1,True,True,66,3.0,0.00963205078894153
2,100,100,1,True,False,-1,,0.00963205078894153
3,109,110,2,True,True,109,0.0,0.00963205078894153
4,120,120,1,True,True,115,5.0,0.00963205078894153
5,133,134,2,True,True,128,5.0,0.00963205078894153
6,144,144,1,True,True,139,5.0,0.00963205078894153
7,175,175,1,True,False,-1,,0.00963205078894153
8,182,182,1,True,True,177,5.0,0.00963205078894153
9,188,188,1,True,True,183,5.0,0.00963205078894153
10,191,191,1,True,True,186,5.0,0.00963205078894153
11,194,194,1,True,True,189,5.0,0.00963205078894153
12,196,196,1,True,True,191,5.0,0.00963205078894153
13,252,252,1,True,False,-1,,0.00963205078894153
14,270,270,1,True,True,265,5.0,0.00963205078894153
15,275,275,1,True,False,-1,,0.00963205078894153
16,283,283,1,True,False,-1,,0.00963205078894153
17,290,291,2,True,True,285,5.0,0.00963205078894153
18,297,297,1,True,True,292,5.0,0.00963205078894153
19,312,313,2,True,True,309,3.0,0.00963205078894153
20,317,317,1,True,True,314,3.0,0.00963205078894153
21,343,343,1,True,False,-1,,0.00963205078894153
22,362,363,2,True,True,362,0.0,0.00963205078894153
23,373,374,2,True,False,-1,,0.00963205078894153
24,379,380,2,True,True,380,-1.0,0.00963205078894153
25,391,391,1,True,True,386,5.0,0.00963205078894153
26,396,397,2,True,True,391,5.0,0.00963205078894153
27,426,426,1,True,False,-1,,0.00963205078894153
28,433,434,2,True,False,-1,,0.00963205078894153
29,451,452,2,True,False,-1,,0.00963205078894153
30,456,456,1,True,False,-1,,0.00963205078894153
31,468,468,1,True,True,463,5.0,0.00963205078894153
32,479,480,2,True,False,-1,,0.00963205078894153
33,500,501,2,True,False,-1,,0.00963205078894153
34,527,527,1,True,False,-1,,0.00963205078894153
35,536,536,1,True,True,531,5.0,0.00963205078894153
36,541,541,1,True,True,536,5.0,0.00963205078894153
37,548,548,1,True,True,543,5.0,0.00963205078894153
38,552,552,1,True,True,547,5.0,0.00963205078894153
39,554,555,2,True,False,-1,,0.00963205078894153
40,560,560,1,True,False,-1,,0.00963205078894153
41,666,666,1,True,False,-1,,0.00963205078894153
42,680,681,2,True,False,-1,,0.00963205078894153
44,734,734,1,True,False,-1,,0.00963205078894153
45,737,737,1,True,False,-1,,0.00963205078894153
46,744,744,1,True,False,-1,,0.00963205078894153
47,760,761,2,True,False,-1,,0.00963205078894153
48,767,767,1,True,False,-1,,0.00963205078894153
49,794,794,1,True,False,-1,,0.00963205078894153
50,798,798,1,True,False,-1,,0.00963205078894153
51,805,805,1,True,False,-1,,0.00963205078894153
52,830,830,1,True,False,-1,,0.00963205078894153
53,843,843,1,True,False,-1,,0.00963205078894153
54,864,864,1,True,False,-1,,0.00963205078894153
55,872,872,1,True,False,-1,,0.00963205078894153
56,912,913,2,True,False,-1,,0.00963205078894153
57,917,917,1,True,False,-1,,0.00963205078894153
58,920,921,2,True,False,-1,,0.00963205078894153
59,927,927,1,True,False,-1,,0.00963205078894153
60,950,950,1,True,False,-1,,0.00963205078894153
61,977,977,1,True,False,-1,,0.00963205078894153
62,981,981,1,True,False,-1,,0.00963205078894153
63,1026,1027,2,True,False,-1,,0.00963205078894153
64,1032,1032,1,True,False,-1,,0.00963205078894153
65,1047,1047,1,True,False,-1,,0.00963205078894153
66,1053,1053,1,True,False,-1,,0.00963205078894153
67,1094,1095,2,True,False,-1,,0.00963205078894153
68,1101,1101,1,True,True,1096,5.0,0.00963205078894153
69,1110,1110,1,True,True,1105,5.0,0.00963205078894153
72,1215,1215,1,True,True,1210,5.0,0.00963205078894153
73,1220,1220,1,True,True,1217,3.0,0.00963205078894153
74,1225,1226,2,True,True,1220,5.0,0.00963205078894153
75,1256,1256,1,True,False,-1,,0.00963205078894153
76,1284,1284,1,True,True,1279,5.0,0.00963205078894153
77,1287,1287,1,True,True,1282,5.0,0.00963205078894153
78,1289,1289,1,True,True,1284,5.0,0.00963205078894153
79,1293,1293,1,True,True,1288,5.0,0.00963205078894153
80,1354,1354,1,True,False,-1,,0.00963205078894153
81,1366,1366,1,True,False,-1,,0.00963205078894153
83,1392,1392,1,True,True,1387,5.0,0.00963205078894153
84,1398,1398,1,True,False,-1,,0.00963205078894153
85,1401,1401,1,True,False,-1,,0.00963205078894153
86,1408,1409,2,True,False,-1,,0.00963205078894153
87,1439,1439,1,True,False,-1,,0.00963205078894153
88,1462,1462,1,True,True,1462,0.0,0.00963205078894153
89,1466,1466,1,True,True,1462,4.0,0.00963205078894153
90,1469,1469,1,True,True,1464,5.0,0.00963205078894153
91,1476,1476,1,True,True,1471,5.0,0.00963205078894153
92,1479,1479,1,True,True,1474,5.0,0.00963205078894153
93,1484,1485,2,True,True,1479,5.0,0.00963205078894153
94,1492,1492,1,True,True,1487,5.0,0.00963205078894153
95,1499,1499,1,True,True,1494,5.0,0.00963205078894153
96,1512,1512,1,True,True,1507,5.0,0.00963205078894153
97,1521,1522,2,True,True,1516,5.0,0.00963205078894153
98,1537,1537,1,True,True,1532,5.0,0.00963205078894153
99,1562,1562,1,True,False,-1,,0.00963205078894153
100,1575,1575,1,True,False,-1,,0.00963205078894153
101,1596,1596,1,True,False,-1,,0.00963205078894153
102,1644,1645,2,True,False,-1,,0.00963205078894153
103,1649,1649,1,True,False,-1,,0.00963205078894153
104,1651,1651,1,True,False,-1,,0.00963205078894153
105,1665,1665,1,True,False,-1,,0.00963205078894153
106,1708,1708,1,True,False,-1,,0.00963205078894153
107,1713,1713,1,True,False,-1,,0.00963205078894153
108,1744,1744,1,True,False,-1,,0.00963205078894153
109,1758,1758,1,True,False,-1,,0.00963205078894153
110,1764,1764,1,True,False,-1,,0.00963205078894153
111,1773,1773,1,True,False,-1,,0.00963205078894153
112,1778,1779,2,True,False,-1,,0.00963205078894153
113,1814,1814,1,True,False,-1,,0.00963205078894153
114,1834,1834,1,True,True,1829,5.0,0.00963205078894153
115,1927,1927,1,True,True,1922,5.0,0.00963205078894153
117,1940,1940,1,True,True,1935,5.0,0.00963205078894153
118,1952,1953,2,True,True,1947,5.0,0.00963205078894153
119,1961,1961,1,True,True,1956,5.0,0.00963205078894153
120,1971,1971,1,True,True,1966,5.0,0.00963205078894153
121,1996,1996,1,True,True,1991,5.0,0.00963205078894153
122,1998,1999,2,True,True,1993,5.0,0.00963205078894153
123,2002,2002,1,True,True,1997,5.0,0.00963205078894153
124,2015,2015,1,True,True,2010,5.0,0.00963205078894153
126,2024,2024,1,True,True,2019,5.0,0.00963205078894153
127,2040,2041,2,True,True,2035,5.0,0.00963205078894153
129,2123,2123,1,True,True,2120,3.0,0.00963205078894153
130,2139,2140,2,True,True,2134,5.0,0.00963205078894153
131,2144,2144,1,True,True,2141,3.0,0.00963205078894153
132,2188,2188,1,True,False,-1,,0.00963205078894153
133,2223,2224,2,True,True,2218,5.0,0.00963205078894153
134,2243,2243,1,True,True,2238,5.0,0.00963205078894153
135,2250,2250,1,True,True,2245,5.0,0.00963205078894153
136,2253,2253,1,True,True,2248,5.0,0.00963205078894153
137,2277,2278,2,True,True,2272,5.0,0.00963205078894153
138,2284,2284,1,True,True,2279,5.0,0.00963205078894153
140,2312,2313,2,True,True,2307,5.0,0.00963205078894153
141,2327,2327,1,True,True,2322,5.0,0.00963205078894153
142,2369,2369,1,True,True,2364,5.0,0.00963205078894153
143,2373,2373,1,True,True,2368,5.0,0.00963205078894153
